A0_old,A1_old,A0_new,A1_new,m0,m1,dm
5.634089052150875e-08,3.412110555912087e-08,1.3971282352725658e-13,1.510377889559203e-13,1.061464547743634,1.3538575821373995,0.29239303439376557
5.633393412435443e-08,3.4120061618546015e-08,1.396796250725538e-13,1.5089105774432122e-13,1.0614867804418846,1.3533209125129506,0.29183413207106607
5.6345787907622275e-08,3.395239710024373e-08,1.3966883869883594e-13,1.5057424794856932e-13,1.0614894377807085,1.3522204352241334,0.29073099744342495
5.632891856190723e-08,3.4192602952615365e-08,1.3968577669563556e-13,1.512215684594601e-13,1.061434324663898,1.353673648328809,0.29223932366491107
5.634195401415513e-08,3.3981810500910064e-08,1.3971081126069564e-13,1.5030830991343844e-13,1.0614920124367182,1.35241416237894,0.29092214994222176
5.634291090296576e-08,3.403900182943706e-08,1.396763685039209e-13,1.508270305750779e-13,1.061466802355612,1.3527649115760347,0.29129810922042276
5.634228743628302e-08,3.402585642433608e-08,1.396762472393081e-13,1.5076555555317176e-13,1.0614372924267372,1.3525414829868305,0.29110419056009323
5.633912281401753e-08,3.403016795572242e-08,1.3968442312039023e-13,1.5070188058874739e-13,1.061458034561811,1.3526301949529287,0.29117216039111776
5.614854514832196e-08,3.417832399218858e-08,1.3920035523670265e-13,1.505979218393837e-13,1.0612649269237286,1.3512483213734354,0.2899833944497068
5.633633009180774e-08,3.3965575405822036e-08,1.396811252656622e-13,1.503048486186406e-13,1.0614908002735086,1.3521255686297342,0.2906347683562256
5.633458579510246e-08,3.398647347661052e-08,1.3967913578379647e-13,1.5037151758263001e-13,1.0614775274394936,1.3523534052441137,0.2908758778046201
5.6206340218624607e-08,3.414683044106398e-08,1.3937593628175409e-13,1.5048179641738425e-13,1.0613067072569748,1.3519365917090151,0.29062988445204024
5.63324186770814e-08,3.397576853798171e-08,1.3970437905888671e-13,1.5026549884713285e-13,1.0614887248975737,1.3525443845685943,0.2910556596710206
5.633836387264324e-08,3.4014042789252426e-08,1.39676181527139e-13,1.5069346080431533e-13,1.0614767699260301,1.3526934702198854,0.2912167002938552
5.619112662408186e-08,3.395151829708648e-08,1.392595917580356e-13,1.4986516543829824e-13,1.061305305547318,1.3500730082080485,0.2887677026607306
5.6337809233268844e-08,3.403346927742713e-08,1.3968367332308373e-13,1.507124791308252e-13,1.061493067153292,1.3526749588597293,0.29118189170643727
5.633905073485317e-08,3.402840798558668e-08,1.3968316932058398e-13,1.5067681908195812e-13,1.0614556826582306,1.3525365638669347,0.291080881208704
5.6345717568504803e-08,3.3902915437930465e-08,1.3968067298369798e-13,1.5029399322186728e-13,1.0614929497217214,1.352053859082148,0.2905609093604266
5.634134264196967e-08,3.3966087611449724e-08,1.3967191657518258e-13,1.5035207347389019e-13,1.061500151024872,1.352094209704509,0.29059405867963706
5.633798139245636e-08,3.400638150074773e-08,1.3967876132928367e-13,1.5073340584863063e-13,1.0614811877116495,1.3527587846005542,0.29127759688890476
5.634476314707232e-08,3.406859060808398e-08,1.3966662161967553e-13,1.5115523030751668e-13,1.061506055580376,1.353311324541945,0.2918052689615691
5.633797925416401e-08,3.4012300472887526e-08,1.396902296764539e-13,1.5078416724358364e-13,1.061481223551258,1.3530739770245432,0.2915927534732851
5.634011983963915e-08,3.403311776192149e-08,1.3968477479130267e-13,1.5073317358961686e-13,1.0614417589240188,1.3525525723068244,0.2911108133828056
5.649818070376798e-08,3.3944470845356206e-08,1.4013799630107514e-13,1.5109701386323894e-13,1.0616698711225137,1.3549012913295349,0.29323142020702125
