jackknife_index	O00_1	O00_2	O00_3	O00_4	O00_5	O01_1	O01_2	O01_3	O01_4	O01_5	O10_1	O10_2	O10_3	O10_4	O10_5
26	0.4742892171179249	0.4718675946473274	0.47196226882265224	0.4249630492058298	0.4744288017948786	-0.1914284290093161	-0.23362523455016002	-0.28708916096248366	-0.1172267439858248	-0.3116622044340546	1.409965928405943	0.8890013159492507	0.8360835554258317	2.4500750654353167	0.6770776980390456
27	0.4736109304981173	0.471162552894278	0.4715473137745858	0.4229130884379269	0.472370307831213	-0.18235657996252608	-0.23127315017305836	-0.2865805581479811	-0.116945758512531	-0.31226867195417807	1.407561322498419	0.8671903567167559	0.7710420520316722	2.4536268946735196	0.6719232901675672
28	0.47279612956555056	0.47009345706609396	0.47037059965639383	0.4234447639860227	0.47147080049565115	-0.18340693257504648	-0.2261738963126937	-0.2801782761577741	-0.12041589735576108	-0.30953138533196956	1.4090649289475414	0.883461263813353	0.8067094635482981	2.4084748353094496	0.663781754852073
29	0.47237125110867884	0.4699280245505378	0.4701537374602997	0.4246837091237087	0.4723038011080947	-0.18024528663722955	-0.22449526081672605	-0.2801812033164877	-0.12075305040902547	-0.30765101511317866	1.4284462708524779	0.898502102868759	0.8268187275676288	2.4147452386721504	0.6901339509183448
30	0.473421339977539	0.47100016516543125	0.4713165774832215	0.4265097488160361	0.4751532108692338	-0.1877306797344565	-0.2307346262546281	-0.2851096332567493	-0.1268577282001408	-0.3161660230499753	1.3962202550990745	0.868710639885735	0.7968363237052806	2.350467184666499	0.6110804059959223
31	0.47330382323717124	0.4708623928731374	0.470995924317028	0.424596577575106	0.4736223341671826	-0.18768160060598987	-0.2298866581405905	-0.2835894663154277	-0.11902003523353691	-0.3115786582361007	1.3989643333614912	0.8671991311638425	0.7862784442522377	2.4161801749899996	0.6475656175470705
32	0.4727727668364545	0.4702107100415473	0.4702574241166789	0.4242930814350591	0.4730590435392347	-0.18142573252168576	-0.225028733291402	-0.27894927415046067	-0.11937933349744587	-0.31021876258938796	1.4229295429230957	0.8986918320457837	0.825252446352952	2.433215860221767	0.6678483293321715
33	0.473355868527266	0.47101806205779806	0.47122615886315133	0.4256219659142032	0.4743330637802304	-0.19275861627357693	-0.23434049999660184	-0.2875183707590045	-0.12639460916063602	-0.31651979380410905	1.3897540356067868	0.8544193188958402	0.7719880629617336	2.405595151736325	0.638627047696197
34	0.4727790818592946	0.47018351077999965	0.4699901517205683	0.4241646304084518	0.47254736009880854	-0.17716236621703396	-0.22307850244294639	-0.27745267761499276	-0.11799289541190824	-0.3081230030674123	1.4282293924476106	0.895861656491173	0.8306443066045205	2.4580878877439702	0.6667546230843588
35	0.47256518964045785	0.47004044210447615	0.47028948658800673	0.4225329918371135	0.4725146052636095	-0.18630172296272962	-0.22885889032673132	-0.28302611522768395	-0.11509838150023985	-0.3110781290127069	1.4404860513694744	0.9135986906911797	0.821452283426535	2.502488365602665	0.7113437170776569
36	0.4732557731025377	0.4708893615941638	0.47098901130802373	0.4255384969688073	0.4740120832710449	-0.18848751752199955	-0.2311287310244487	-0.2836102025037429	-0.12421009591519185	-0.31280785265254957	1.4102897835116026	0.872465016410036	0.7950887077918627	2.3898002576299815	0.6262447567889661
37	0.47330067866048436	0.47089609347056	0.47097295665044747	0.4251034525487235	0.4739478722723743	-0.18972379129583639	-0.23176129373900975	-0.2846776050938195	-0.12290906243594178	-0.31388376696917836	1.397234139684372	0.8699549003798714	0.7951811962582299	2.3884275613070853	0.6343855723916996
